dataset,sample_id,math_density,is_hallucination,confidence,vibration
clean,clean_47,0.0,1,0.5035380125045776,45.732974233278064
clean,clean_48,0.0,1,0.5105361342430115,18.308577465227998
clean,clean_49,0.0,1,0.5073148012161255,23.38024311580911
clean,clean_50,0.0,1,0.510453462600708,20.684334876976635
clean,clean_51,0.0,1,0.5079588294029236,19.696595805331793
clean,clean_52,0.0,1,0.5129526853561401,14.704187206322766
clean,clean_53,0.0,1,0.5034055113792419,36.55767417926959
clean,clean_54,0.0,1,0.5037930011749268,36.654428531312455
clean,clean_55,0.0,1,0.5095247030258179,17.54973628783909
clean,clean_56,0.0,1,0.5076402425765991,24.692878451322102
clean,clean_57,0.0,1,0.5130609273910522,13.756140921432472
clean,clean_58,0.0,1,0.5041272640228271,39.03405338456806
clean,clean_59,0.0,1,0.5137001872062683,14.67500883228549
clean,clean_60,0.0,1,0.5102115869522095,17.667150878819537
clean,clean_61,0.0,1,0.502817690372467,37.437953472413135
clean,clean_62,0.0,1,0.5078068375587463,23.43673122416519
clean,clean_63,0.0,1,0.5063799619674683,20.562314953163884
clean,clean_64,0.0,1,0.5079187154769897,22.233250380323142
clean,clean_65,0.0,1,0.5028699636459351,28.583140962076982
clean,clean_66,0.0,1,0.5103315114974976,17.024156846940777
clean,clean_67,0.0,1,0.5098115801811218,23.63432920007956
clean,clean_68,0.0,1,0.5067088007926941,26.797896348715902
clean,clean_69,0.0,1,0.5040487051010132,35.55488375006068
clean,clean_70,0.0,1,0.510783851146698,16.513108840806513
clean,clean_71,0.0,1,0.5059043765068054,28.498008156647366
clean,clean_72,0.0,1,0.5077852010726929,23.190129574006686
clean,clean_73,0.0,1,0.5059163570404053,21.88981109917424
clean,clean_74,0.0,1,0.5045716762542725,36.017848560088936
clean,clean_75,0.0,1,0.504432201385498,27.53821149558685
clean,clean_76,0.0,1,0.5096224546432495,15.063847695761094
clean,clean_77,0.0,1,0.5036669969558716,33.38788649926944
clean,clean_78,0.0,1,0.5066248178482056,28.689625394120917
